Co_Ref,Total_Renewal_Score_New,Tenure_Years,Band,call_count_window,tenure_days,price_change_ratio,days_last_call_to_renewal,call_freq_per_month
DT7483,34.0,11.0,0,1,4018.0,0.0,-77.0,0.2222222222222222
OC8509,33.0,2.0,4,1,731.0,0.809052333804809,134.0,0.2222222222222222
MN1998,31.0,1.0,1,1,365.0,0.9598853868194842,13.0,0.2222222222222222
IF2391,32.0,1.0,1,0,365.0,0.0,98.0,0.0
FG1898,32.0,1.0,1,0,426.0,0.0,98.0,0.0
RT6159,32.5,1.0,1,0,365.0,0.20634920634920634,98.0,0.0
HO5283,31.5,1.0,1,1,365.0,0.20040080160320642,76.0,0.2222222222222222
PR5087,33.0,10.0,2,0,3653.0,0.0,98.0,0.0
JH2045,32.0,1.0,1,0,365.0,0.0,98.0,0.0
NT6744,34.0,7.0,1,1,2557.0,0.0,-76.0,0.2222222222222222
QR6035,31.0,1.0,3,0,365.0,0.0,98.0,0.0
ZM1713,33.0,1.0,1,0,365.0,0.0,98.0,0.0
HB0019,33.0,1.0,1,1,365.0,0.20754716981132076,45.0,0.2222222222222222
TL5330,31.0,1.0,5,0,365.0,0.0,98.0,0.0
HE8714,34.0,11.0,1,1,4018.0,0.0,134.0,0.2222222222222222
XR0429,34.5,10.0,5,1,3653.0,0.0,105.0,0.2222222222222222
FB9257,31.0,1.0,2,0,365.0,0.20572028339018622,98.0,0.0
HV3376,33.5,6.0,1,0,2192.0,0.0,98.0,0.0
EB3579,32.0,1.0,1,1,365.0,0.20040080160320642,-49.0,0.2222222222222222
ZF4617,31.0,1.0,2,0,365.0,0.0,98.0,0.0
KG7288,34.0,3.0,0,0,1096.0,0.0,98.0,0.0
RT3692,33.0,4.0,1,0,1461.0,0.0,98.0,0.0
AF2845,32.0,1.0,1,1,365.0,0.2808988764044944,75.0,0.2222222222222222
