Co_Ref,crm_contractor_sentiment_score,crm_agent_chase_count,Time_to_Renewal,crm_delays_in_accreditation,crm_contractor_engagement,crm_customer_payment_intention,crm_competitors_mentioned,crm_membership_overdue,crm_customer_complained,crm_dissatisfaction_with_support
AH5597,20.0,0.42857142857142855,0,1,0,1,0,1,0,0
AH5662,14.285714285714286,0.5714285714285714,0,1,0,1,0,1,0,0
AH5733,60.0,2.0,0,2,1,1,0,1,0,0
AH5736,25.0,2.0,0,0,1,1,0,0,0,0
AH5743,50.0,2.0,3,2,1,1,0,1,0,0
AH6347,63.333333333333336,0.3333333333333333,0,0,1,2,0,1,0,0
AH7064,65.0,1.0,0,0,1,2,0,0,0,0
AH7143,57.5,0.75,0,0,1,1,0,1,0,0
AH7303,43.333333333333336,0.0,0,0,1,1,0,1,0,0
AH7592,40.0,1.3333333333333333,0,2,1,1,0,0,0,1
AH7628,10.0,0.8,0,1,0,1,0,1,0,0
AH8020,37.5,2.5,0,2,1,1,0,1,0,0
AH8259,0.0,0.0,3,0,1,1,0,2,0,0
AH8535,50.0,2.0,3,0,1,1,0,0,0,0
AH8940,63.333333333333336,1.3333333333333333,0,0,1,2,0,1,0,0
AH8976,0.0,0.75,1,1,0,1,0,1,0,0
AH9172,0.0,0.6666666666666666,0,1,0,1,0,1,0,0
AH9570,33.333333333333336,2.3333333333333335,1,0,1,1,0,2,0,0
AH9688,16.666666666666668,1.6666666666666667,1,0,1,0,1,2,0,0
AH9811,25.0,1.0,0,0,1,1,0,0,0,0
AH9874,25.0,1.75,0,0,1,1,0,1,0,0
AH9990,26.666666666666668,1.6666666666666667,1,2,1,1,0,0,0,0
AI0111,90.0,2.0,3,0,1,1,0,0,0,0
AI0168,50.0,2.0,0,0,1,1,0,0,0,0
AI0358,16.666666666666668,2.0,0,2,1,1,0,1,0,0
AI0471,0.0,0.75,0,1,0,1,0,2,0,0
